,claim,label
356,Pyridostatin reduces proliferation of homologous recombination - defective cells.,1
357,Pyridostatin stabilizes the G - quadruplex in the telomeric region.,1
358,RAD52 is involved in break-induced DNA replication (BIR).,1
359,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,0
360,RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,1
361,RTEL1 interacts with TRF2 through a C4C4 motif,1
362,RUNX1 is downregulated or mutated in TLX1 T-ALL.,1
363,Radioiodine treatment of non-toxic multinodular goitre increases thyroid volume.,0
364,Rapamycin delays aging in fruit flies.,1
365,Rapid phosphotransfer rates are correlated with histidine kinase regulator specificity.,1
366,Recognition of start codons depends on the translation initiation factor IF3.,1
367,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with autoimmune diseases such as Type 1 Diabetes.,1
368,Reducing H3k4me3 methylation induces mouse epiblast stem cells to naive pluripotency efficiently.,1
369,Reduction of Rpl38 alters the composition of the Hox gene mRNAs translation in mice without lowering overall protein synthesis.,1
370,Removal of H3K9me3 by ectopic expression of other H3K9 demethylases decreases reprogramming efficiency in SCNT experiments.,0
371,Removal of H3K9me3 by ectopic expression of other H3K9 demethylases improves reprogramming efficiency in SCNT experiments.,1
372,Removal of H3K9me3 improves reprogramming efficiency in human somatic cell nuclear transfer experiments.,1
373,Replacement of histone H2A with H2A.Z accelerates gene activation in yeasts by destabilizing +1 nucleosomes.,1
374,Repressing IL-18 has negative effects on atherosclerotic lesion composition and progression.,0
375,Retinoic acid receptor-related orphan receptor gamma (RORγ) is a therapeutic target for castration-resistant prostate cancer (CRPC),1
376,Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in gluconeogenesis.,1
377,Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in hepatic glucose metabolism.,1
378,Ribosomopathies have a high degree of cell and tissue specific pathology.,1
379,Risedronate increases risk of vertebral and non-vertebral fractures.,0
380,Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,1
381,Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.,1
382,Rotator cuff exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,1
383,Satellite cell dysfunction is a key factor in sarcopenia development.,0
384,Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.,1
385,Sepsis related mortality has remained stable between 2009-2014.,1
386,Sepsis related mortality has risen from 2009 to 2014.,0
387,Side effects associated with antidepressants do not represent a mortality risk to postmenopausal women.,0
388,Side effects associated with antidepressants increases risk of stroke.,1
389,Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,0
390,Smc5/6 engagment halts the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,0
391,Splenomegaly is observed in knockin mouse lacking the SHP-2 MAPK pathway.,1
392,Stiff substrates encourage mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.,0
393,Stiff substrates inhibit mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.,1
394,Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.,0
395,Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.,1
396,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,0
397,Suboptimal nutrition is a leading cause of premature death,1
398,"Surfactin producing cells and exopolymer producing cells cooperate to generate ""Van Gogh"" bundles that have sliding abilities on specialized media.",1
399,Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.,1
400,Sympathetic nerve activity is elevated throughout normal pregnancy.,1
401,Sympathetic nerve activity is reduced throughout normal pregnancy.,0
402,Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED),1
403,Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED),0
404,Systemic lupus erythematosus is a risk factor for cardiovascular disease.,1
405,T cell receptor /CD3 microdomains are required to induce the immunologic synapse.,1
406,TMEM27 is a marker for beta cells.,1
407,TNFAIP3 is a glioblastoma tumor enhancer.,1
408,TNFAIP3 is a glioblastoma tumor suppressor.,0
409,TNFAIP3 is a tumor enhancer in glioblastoma.,1
410,TRAP+ osteoclasts regulate mature osteoblast maintenance.,1
411,Taking 400mg of α-tocopheryl acetate does not prevent prostate cancer.,1
412,Taking 400mg of α-tocopheryl acetate in combination with vitamin C reduces the risk of prostate cancer.,0
413,Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,1
414,Taxation of sugar-sweetened beverages reduced the incidence rate of type II diabetes in India.,1
415,Ten percent (10%) of kidney cancers in the UK are attributable to excess weight.,1
416,The C-type lectin receptor (CLEC-2) rearranges the actin cytoskeleton in dendritic cells to promote efficient motility along stromal surfaces.,1
417,The DESMOND program caused substantial weight loss in most participants.,0
418,The DESMOND program demonstrates no significant impact on biochemical outcomes.,1
419,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,1
420,The DESMOND program demonstrates no significant impact on weight loss.,1
421,The DdrB protein from Deinococcus radiodurans functions as a pentamer.,1
422,The M2-phenotype in brown adipose tissue macrophages increases brown adipose tissue thermogenic activity.,1
423,The NF-κB essential modulator gene induces intestinal inflammation by promoting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.,0
424,The NF-κB essential modulator gene prevents intestinal inflammation by inhibiting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.,1
425,The PDPN gene deactivates the C-type lectin receptor (CLEC-2).,0
426,The PRDM1 gene is a key determinant of primordial germ cells.,1
427,"The PRDM1 gene, when combined with the PRDM14 gene, plays an important role during primordial germ cell specification.",1
428,The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,1
429,The Snf1 complex regulates carbon and energy metabolism in baker's yeast (Saccharomyces cerevisiae).,1
430,The US health care system can save up to $5 billion if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,0
431,The combination of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.,0
432,The deamination of cytidine to uridine on the minus strand of viral DNA can inactivate the viral genome by inducing G-to-A mutations.,1
433,The density of cytokine receptor bearing cells affects the distance over which cytokines act.,1
434,The density of cytokine receptor bearing cells has no effect on the distance over which cytokines act.,0
435,The generation of reactive oxygen species by activated oncogenes contributes to the increased genomic instability of leukaemia cells.,1
436,The innate immune response struggles to remove small numbers of parasites.,0
437,The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,1
438,The mean suicide rate in women is higher after miscarriage than live birth.,1
439,The mean suicide rate in women is lower after miscarriage than live birth.,0
440,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,1
441,The minor G allele of FOXO3 downregulates pro-inflammatory cytokines.,1
442,The minor G allele of FOXO3 is related to less severe symptoms of Crohn's Disease.,1
443,The minor G allele of FOXO3 up-regulates IL-10.,1
444,The most prevalent adverse events to Semaglutide are cardiovascular.,0
445,The most prevalent adverse events to Semaglutide are gastrointestinal.,1
446,The myocardial cell lineage originally develops from cardiac progenitors of exclusively endodermal origin.,0
447,The one-child policy has created a hospitable environment for female infants.,0
448,The peak incidence of fractures occurs during pubertal growth spurt in early adolescents.,1
449,The peak incidence of fractures occurs in toddlers.,0
450,The proliferative capacity of neural progenitors differs across species.,1
451,The proliferative capacity of progenitors is regulated cell-autonomously.,1
452,The recruitment of Wdr5 to its target loci depends on Kat8.,1
453,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is independent of the patient's genetic make-up.,0
454,The removal of reactive oxygen species by activated oncogenes contributes to the increased genomic instability of leukaemia cells.,0
455,The repeat-variable diresidue (RVD) in the loop of Transcription-Activator Like (TAL) effectors specifies the nucleotides-amino acid contact at the target promoter element.,1
456,The risk of breast cancer among parous women decreases with placental weight of pregnancies.,0
457,The risk of cancer rises with level of alcohol consumption.,1
458,The risk of female prisoners harming themselves is ten times that of male prisoners.,1
459,The tissue surrounding the granuloma in an immune cell induces an anti-inflammatory immune response.,1
460,Therapeutics receiving accelerated approval encounter a lower frequency of post-marketing safety events,0
461,There is a positive correlation between hip fractures and statin use.,0
462,There is a relation between Erythromycin use and hypertrophic pyloric stenosis.,1
463,There is no increased risk of hypospadias with clomiphene.,0
464,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,0
465,There is no relation between Erythromycin use and hypertrophic pyloric stenosis.,0
466,There was an estimated 30 million cases of pneumonia in young children worldwide in 2010.,1
467,Tirasemtiv targets fast-twitch muscle.,1
468,"Trans-acting factors, such as lncRNAs, influence mRNA translation.",1
469,Transcription factor EB induces transcription of pro-inflammatory cytokines in macrophages infected with Staphylococcus aureus.,1
470,Transplanted human glial progenitor cells can mature in their host animal.,1
471,Treatment with a protein named FN impairs regenerative abilities of aged muscles.,0
472,Treatment with a protein named FN restores regenerative abilities of aged muscles.,1
473,Tuberculosis incidence occurs at higher rates in more sparsely populated areas in the UK.,0
474,Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.,1
475,Two variants of chromosome 6q21 are associated with radiation therapy-induced second malignancies in pediatric Hodgkin lymphoma patients.,1
476,Type 1 Diabetes is associated with subtle perturbations in T reg development.,1
477,Ultrasound guidance significantly reduces the number of needle insertion attempts necessary for a given procedure.,1
478,Ultrasound guidance significantly reduces the number of traumatic procedures when attempting needle insertion.,1
479,"Upon developing tyrosine-kinase inhibitor resistance, new mutations in epidermal growth factor receptors emerge and cause treatment failure.",1
480,"Upon viral challenge, influenza-specific memory CD4+ T cells greatly diminish the early production of inflammatory chemokines in the lung.",0
481,"Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of inflammatory chemokines in the lung.",1
482,Upregulation of dynein in Drosophila neurons increases the number of microtubule plus-ends growing toward the cell body of each neuron.,0
483,V-9302 inhibits antitumor responses by decreasing cell death and oxidative stress.,0
484,Vaccinating the gastrointestinal tract induces protection of rectal and vaginal mucosa.,1
485,Varenicline monotherapy is more effective after 26 weeks of treatment compared to combination nicotine replacement therapies with varenicline or bupropion.,0
486,Varying expression levels of EBI2 affect the positioning and migration of B cells.,1
487,VgrG (Tssl) protein punctures membranes by forming a spike at the tip of the tube apparatus.,1
488,Vitamin D deficiency effects birth weight.,1
489,Vitamin D is an important factor in the relationship between calcium and parathyroid hormone.,1
490,Walking in traffic areas in London did not improve lung function in elderly adults.,1
491,Walking in traffic areas in London improves lung function in elderly adults.,0
492,Whole brain radiotherapy increases the occurrence of new brain metastases.,0
493,Women are more susceptible to death due to pneumonia when compared to men.,1
494,Women with a lower birth weight are more likely to develop breast cancer later in life.,0
495,YAP/TAZ is required in intestinal regeneration in mouse models of ulcerative colitis.,1
496,aPKCz causes tumour suppression by affecting glutamine metabolism.,1
497,cSMAC formation represses weak ligand signalling.,0
498,mcm 5 s 2 U is required for proper decoding of NNR codons in eukaryotes.,1
499,miR-142-5P is a known regulator of raised body temperature.,1
500,miR-142-5P is a temperature-sensitive microRNA (miRNA).,1
501,miRNAs enforce homeostasis by suppressing low-level ''leaky'' transcription.,1
502,siRNA knockdown of A20 accelerates tumor progression in an in vivo murine xenograft model.,0
503,siRNA knockdown of A20 slows tumor progression in an in vivo murine xenograft model.,1
504,β-sheet opening occurs during pleurotolysin pore formation.,1
505,"1,000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.",1
506,1/2000 in UK have abnormal PrP positivity.,1
507,A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,0
508,"A total of 1,000 people in the UK are asymptomatic carriers of vCJD infection.",0
509,ADAR1 binds to Dicer to cleave pre-miRNA.,1
510,AIRE is expressed in some skin tumors.,1
511,ALDH1 expression is associated with better breast cancer outcomes.,0
512,ALDH1 expression is associated with poorer prognosis in breast cancer.,1
513,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,0
514,APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,1
515,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation, delaying GABA neuron degeneration.",0
516,Activation of PPM1D suppresses p53 function.,1
517,All hematopoietic stem cells segregate their chromosomes randomly.,1
518,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,1
519,Anthrax spores can be disposed of easily after they are dispersed.,0
520,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,1
521,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,1
522,Articles published in open access format are less likely to be cited than traditional journals.,0
523,Articles published in open access format are more likely to be cited than traditional journals.,1
524,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",1
525,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,1
526,Auditory entrainment is strengthened when people see congruent visual and auditory information.,1
527,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,0
528,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,1
529,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,1
530,Autophagy declines in aged organisms.,1
531,Bariatric surgery has a positive impact on mental health.,1
532,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,0
533,Birth-weight is positively associated with breast cancer.,1
534,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,0
535,Bone marrow cells contribute to adult macrophage compartments.,0
536,Breast cancer development is determined exclusively by genetic factors.,0
537,CHEK2 is not associated with breast cancer.,1
538,CR is associated with higher methylation age.,0
539,CX3CR1 on the Th2 cells impairs T cell survival,0
540,CX3CR1 on the Th2 cells promotes T cell survival,1
541,CX3CR1 on the Th2 cells promotes airway inflammation.,1
542,CX3CR1 on the Th2 cells suppresses airway inflammation.,0
543,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,1
544,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,0
545,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,1
546,Cellular aging closely links to an older appearance.,1
547,Chenodeosycholic acid treatment increases whole-body energy expenditure.,1
548,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,0
549,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",1
550,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,0
551,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,1
552,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,1
553,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,1
554,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,1
555,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,1
556,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,1
557,Dexamethasone decreases risk of postoperative bleeding.,0
558,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,1
559,Enhanced early production of inflammatory chemokines improves viral control in the lung.,1
560,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,1
561,Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,1
562,Exposure to fine particulate air pollution is relate to anxiety prevalence.,1
563,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,1
564,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,1
565,Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,1
566,GATA-3 is important for hematopoietic stem cell (HSC) function.,1
567,Gene expression does not vary appreciably across genetically identical cells.,0
568,Glycolysis is one of the primary glycometabolic pathways in cells.,1
569,Headaches are not correlated with cognitive impairment.,1
570,High cardiopulmonary fitness causes increased mortality rate.,0
571,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,0
572,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,1
573,Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.,1
574,Human T-lymphotropic virus type-I-associated myelopathy / tropical spastic paraparesis (HAM/TSP) patients produce Immunoglobulin G (IgG) antibodies which cross-react with an immunodominant epitope in Tax.,1
575,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,0
576,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,1
577,Hypocretin neurones induce panicprone state in rats.,1
578,Hypoglycemia increases the risk of dementia.,1
579,Hypothalamic glutamate neurotransmission is crucial to energy balance.,1
580,IRG1 has antiviral effects against neurotropic viruses.,1
581,"In adult tissue, most T cells are memory T cells.",1
582,"In mouse models, the loss of CSF1R facilitates MOZ-TIF2-induced leuekmogenesis.",0
583,"In young and middle-aged adults, current or remote uses of ADHD medications do not increase the risk of serious cardiovascular events.",1
584,Incidence of heart failure decreased by 10% in women since 1979.,1
585,Incidence rates of cervical cancer have decreased.,1
586,Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.,0
587,Increased microtubule acetylation repairs LRRK2 Roc-COR domain mutation induced locomotor deficits.,1
588,Increased vessel density along with a reduction in fibrosis decreases the efficacy of chemotherapy treatments.,0
589,"Inositol lipid 3-phosphatase PTEN converts Ptdlns(3,4)P 2 into phosphatidylinositol 4-phosphate.",1
590,Insomnia can be effectively treated with cognitive behavioral therapy.,1
591,LDL cholesterol has no involvement in the development of cardiovascular disease.,0
592,Leuko-increased blood increases infectious complications in red blood cell transfusion.,0
593,Leuko-reduced blood reduces infectious complications in red blood cell transfusion.,1
594,Low nucleosome occupancy correlates with low methylation levels across species.,0
595,Lupus-prone mice infected with curliproducing bacteria have higher autoantibody titers compared to controls.,1
596,Ly49Q directs the organization of neutrophil migration to inflammation sites by regulating membrane raft functions.,1
597,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,0
598,Lymphadenopathy is observed in knockin mouse lacking the SHP-2 MAPK pathway.,1
599,Macrolides have no protective effect against myocardial infarction.,1
600,Macrolides protect against myocardial infarction.,0
601,Macropinocytosis contributes to a cell's supply of amino acids via the intracellular uptake of protein.,1
602,Many proteins in human cells can be post-translationally modified at lysine residues via acetylation.,1
603,Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have a dramatic impact in reducing malaria transmission.,0
604,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in reduced efficacy and lower quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,1
605,Mice that lack Interferon-γ or its receptor exhibit high resistance to experimental autoimmune myocarditis.,0
606,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,1
607,Mitochondria are uninvolved in apoptosis.,0
608,Monoclonal antibody targeting of N-cadherin inhibits metastasis.,1
609,Most termination events in Okazaki fragments are sequence specific.,1
610,Mutant mice lacking SVCT2 have greatly increased ascorbic acid levels in both brain and adrenals.,0
611,N348I mutations cause resistance to zidovudine (AZT).,1
612,NFAT4 activation requires IP3R-mediated Ca2+ mobilization.,1
613,NR5A2 is important in development of endometrial tissues.,1
614,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,1
615,Neutrophil extracellular traps (NETs) are released by ANCA-stimulated neutrophils.,1
616,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,0
617,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,0
618,Normal expression of RUNX1 has tumor-promoting effects.,0
619,Obesity is determined solely by environmental factors.,0
620,Occupancy of ribosomes by IncRNAs do not make functional peptides.,0
621,Occupancy of ribosomes by IncRNAs mirror 5 0-UTRs,1
622,Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegetarians.,0
623,PD-1 triggering on monocytes reduces IL-10 production by monocytes.,0
624,PDPN promotes efficient motility along stromal surfaces by activating the C-type lectin receptor to rearrange the actin cytoskeleton in dendritic cells.,1
625,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,1
626,Participating in six months of physical activity improves cognitive functioning.,1
627,Patients in stable partnerships have a faster progression from HIV to AIDS.,0
628,Peroxynitrite is required for nitration of TCR/CD8.,1
629,Podocytes are motile and migrate in the presence of injury.,1
630,Polymeal nutrition reduces cardiovascular mortality.,1
631,Pretreatment with the Arp2/3 inhibitor CK-666 affects lamelliopodia formation.,1
632,Primary cervical cancer screening with HPV detection has higher longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,1
633,Proteins synthesized at the growth cone are ubiquitinated at a higher rate than proteins from the cell body.,1
634,Pseudogene PTENP1 regulates the expression of PTEN by functioning as an miRNA decoy.,1
635,Pyridostatin destabilizes the G - quadruplex in the telomeric region.,0
636,Radioiodine treatment of non-toxic multinodular goitre reduces thyroid volume.,1
637,Rapid phosphotransfer rates govern fidelity in two component systems,1
638,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,1
639,Rapid up-regulation and higher basal expression of interferon-induced genes reduce survival of granule cell neurons that are infected by West Nile virus.,0
640,Recurrent mutations occur frequently within CTCF anchor sites adjacent to oncogenes.,1
641,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,0
642,Replacement of histone H2A with H2A.Z slows gene activation in yeasts by stabilizing +1 nucleosomes.,0
643,Ribosomopathies have a low degree of cell and tissue specific pathology.,0
644,S-nitrosylated GAPDH physiologically transnitrosylates histone deacetylases.,1
645,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,1
646,Silencing of Bcl2 is important for the maintenance and progression of tumors.,0
647,Smc5/6 engagment drives the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,1
648,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,1
649,Subcutaneous fat depots undergo extensive browning processes after cold exposure.,1
650,Suboptimal nutrition is not predictive of chronic disease,0
651,Synaptic activity enhances local release of brain derived neurotrophic factor from postsynaptic dendrites.,1
652,T regulatory cells (tTregs) lacking αvβ8 are more adept at suppressing pathogenic T-cell responses during active inflammation.,0
653,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,1
654,TNFAIP3 is a tumor suppressor in glioblastoma.,0
655,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,0
656,Taxation of sugar-sweetened beverages had no effect on the incidence rate of type II diabetes in India.,0
657,Teaching hospitals do not provide better care than non-teaching hospitals.,1
658,Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,1
659,The DdrB protein from Deinococcus radiodurans is an alternative SSB.,1
660,The PRR MDA5 is a sensor of RNA virus infection.,1
661,The US health care system can save up to $750 million if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,1
662,The YAP1 and TEAD complex tanslocates into the nucleus where it interacts with transcription factors and DNA-binding proteins that modulate target gene transcription.,1
663,The center of the granuloma in an immune cell induces a pro-inflammatory immune response.,1
664,The extracellular domain of TMEM27 is cleaved in human beta cells.,1
665,The genomic aberrations found in matasteses are very similar to those found in the primary tumor.,0
666,The locus rs647161 is associated with colorectal carcinoma.,1
667,The minor G allele of FOXO3 is related to more severe symptoms of Crohn's Disease.,0
668,The myocardial lineage develops from cardiac progenitors of mesodermal origin.,1
669,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is dependent on the patient's genetic make-up.,1
670,The repair of Cas9-induced double strand breaks in human DNA is error-prone.,1
671,"The risk of breast cancer among parous women increases with placental weight of pregnancies, and this association is strongest for premenopausal breast cancer.",1
672,The risk of male prisoners harming themselves is ten times that of female prisoners.,0
673,The severity of cardiac involvement in amyloidosis can be described by the degree of transmurality of late gadolinium enhancement in MRI.,1
674,The sliding activity of kinesin-8 protein Kip3 promotes bipolar spindle assembly.,1
675,The tip of the inner tube of the toxic type VI secretion system (T6SS) antibacterial effector in Escherichia coli (E. coli) carries toxic effector proteins.,1
676,There is an inverse relationship between hip fractures and statin use.,1
677,Thigh-length graduated compression stockings (GCS) did not reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke.,1
678,Tirasemtiv has no effect on fast-twitch muscle.,0
679,Transplanted human glial cells can differentiate within the host animal.,1
680,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,0
681,UCB T cells maintain high TCR diversity after transplantation.,1
682,UCB T cells reduce TCR diversity after transplantation.,0
683,Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,1
684,Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.,0
685,Upregulation of mosGCTL-1 is induced upon infection with West Nile virus.,1
686,Varenicline monotherapy is more effective after 12 weeks of treatment compared to combination nicotine replacement therapies with varenicline or bupropion.,0
687,Vitamin D deficiency effects the term of delivery.,1
688,Vitamin D deficiency is unrelated to birth weight.,0
689,Women with a higher birth weight are more likely to develop breast cancer later in life.,1
690,aPKCz causes tumour enhancement by affecting glutamine metabolism.,0
691,cSMAC formation enhances weak ligand signalling.,1
692,mTORC2 regulates intracellular cysteine levels through xCT inhibition.,1
